unitid,cipcode,awlevel,crace15,crace16
"100636",60402,"3","54","23"
"100636",60701,"3","7","1"
"100636",60704,"3","2","0"
"100636",61201,"3","73","11"
"100636",69999,"3","138","63"
"100636",79999,"3","620","287"
"100636",100199,"3","514","103"
"100636",110301,"3","13","3"
"100636",110401,"3","291","52"
"100636",139999,"3","574","105"
"100636",149999,"3","11","3"
"100636",150203,"3","1","0"
"100636",150301,"3","56","5"
"100636",150303,"3","612","53"
"100636",150399,"3","81","3"
"100636",150401,"3","24","2"
"100636",150499,"3","420","29"
"100636",150501,"3","15","1"
"100636",150699,"3","30","11"
"100636",151001,"3","125","5"
"100636",159999,"3","1894","92"
"100636",170101,"3","38","24"
"100636",170103,"3","15","7"
"100636",170206,"3","2","0"
"100636",170208,"3","5","0"
"100636",170209,"3","16","5"
"100636",170211,"3","25","7"
"100636",170308,"3","1","2"
"100636",170309,"3","71","19"
"100636",170399,"3","6","1"
"100636",170503,"3","1","0"
"100636",170599,"3","23","9"
"100636",170705,"3","2","2"
"100636",170815,"3","8","1"
"100636",179999,"3","156","65"
"100636",180799,"3","44","30"
"100636",189999,"3","8","1"
"100636",199999,"3","17","10"
"100636",200108,"3","6","5"
"100636",200499,"3","30","8"
"100636",220199,"3","9","22"
"100636",319999,"3","16","2"
"100636",410299,"3","2","0"
"100636",410303,"3","52","12"
"100636",410304,"3","62","13"
"100636",430105,"3","235","23"
"100636",430199,"3","320","11"
"100636",430299,"3","103","1"
"100636",439999,"3","124","12"
"100636",440101,"3","20","10"
"100636",459999,"3","24","12"
"100636",470699,"3","47","5"
"100636",479999,"3","100","29"
"100636",480299,"3","4","0"
"100636",490101,"3","165","24"
"100636",490105,"3","30","10"
"100636",490199,"3","57","5"
"100636",490201,"3","12","4"
"100636",499999,"3","749","167"
"100636",500901,"3","11","1"
"100636",990000,"3","8171","1411"
"100654",10102,"5","3","0"
"100654",20201,"5","1","0"
"100654",20201,"7","2","0"
"100654",20301,"5","3","1"
"100654",20301,"7","6","2"
"100654",20403,"5","3","2"
"100654",20499,"5","3","0"
"100654",20501,"5","1","0"
"100654",20501,"7","4","2"
"100654",29999,"5","1","0"
"100654",40301,"5","2","2"
"100654",40301,"7","3","2"
"100654",60101,"5","5","7"
"100654",60201,"5","8","11"
"100654",60301,"5","2","11"
"100654",60401,"5","12","36"
"100654",60401,"7","35","22"
"100654",60501,"7","2","0"
"100654",70401,"5","0","7"
"100654",80799,"5","4","14"
"100654",100104,"5","7","12"
"100654",110101,"5","8","17"
"100654",110101,"7","13","9"
"100654",130401,"7","3","6"
"100654",130401,"8","0","1"
"100654",131001,"5","1","8"
"100654",131001,"7","3","11"
"100654",131012,"5","0","4"
"100654",131202,"5","2","10"
"100654",131202,"7","1","43"
"100654",131204,"5","0","8"
"100654",131204,"7","0","14"
"100654",131204,"8","0","4"
"100654",131205,"5","6","4"
"100654",131205,"7","1","18"
"100654",131302,"5","0","2"
"100654",131302,"7","0","2"
"100654",131309,"5","1","0"
"100654",131309,"7","1","0"
"100654",131312,"5","3","0"
"100654",131314,"5","4","3"
"100654",131315,"7","0","1"
"100654",140801,"5","2","1"
"100654",150299,"5","3","4"
"100654",150399,"5","11","1"
"100654",150603,"7","9","0"
"100654",150805,"5","3","0"
"100654",150899,"3","2","0"
"100654",150899,"5","2","0"
"100654",170310,"5","0","2"
"100654",180102,"5","0","4"
"100654",190101,"5","0","4"
"100654",190101,"7","0","4"
"100654",190501,"5","2","2"
"100654",190901,"5","0","2"
"100654",230101,"5","2","2"
"100654",260101,"5","7","7"
"100654",270101,"5","3","6"
"100654",400501,"5","1","2"
"100654",400801,"5","4","2"
"100654",400801,"7","6","0"
"100654",400801,"9","2","0"
"100654",400899,"5","1","0"
"100654",420201,"7","2","6"
"100654",420601,"7","3","9"
"100654",429999,"5","1","6"
"100654",440701,"5","1","4"
"100654",451001,"5","2","3"
"100654",451101,"5","2","0"
"100654",480203,"5","2","4"
"100654",990000,"3","2","0"
"100654",990000,"5","129","215"
"100654",990000,"7","94","151"
"100654",990000,"8","0","5"
"100654",990000,"9","2","0"
"100663",60201,"5","32","47"
"100663",60201,"7","6","5"
"100663",60301,"5","38","25"
"100663",60401,"5","36","19"
"100663",60401,"7","81","45"
"100663",60501,"5","2","0"
"100663",61302,"5","2","1"
"100663",61401,"5","65","46"
"100663",90101,"5","18","19"
"100663",110101,"5","35","7"
"100663",110101,"7","15","7"
"100663",110101,"9","1","1"
"100663",130101,"5","0","4"
"100663",130401,"7","2","1"
"100663",130401,"8","5","0"
"100663",130401,"9","2","2"
"100663",130801,"7","0","3"
"100663",130801,"8","0","2"
"100663",131001,"5","1","10"
"100663",131001,"7","4","46"
"100663",131001,"8","0","2"
"100663",131202,"5","6","81"
"100663",131202,"7","5","103"
"100663",131202,"8","0","3"
"100663",131204,"5","0","38"
"100663",131204,"7","0","54"
"100663",131204,"9","0","7"
"100663",131205,"5","17","37"
"100663",131205,"7","18","75"
"100663",131205,"8","0","3"
"100663",131302,"5","0","1"
"100663",131302,"7","0","1"
"100663",131307,"5","2","9"
"100663",131307,"7","0","1"
"100663",131314,"5","8","13"
"100663",131314,"7","7","8"
"100663",139999,"7","16","34"
"100663",139999,"8","2","3"
"100663",140501,"7","5","3"
"100663",140501,"9","2","0"
"100663",140801,"5","12","2"
"100663",140801,"7","4","0"
"100663",141001,"5","22","4"
"100663",141001,"7","12","1"
"100663",141801,"5","5","1"
"100663",141801,"7","5","1"
"100663",141801,"9","2","0"
"100663",141901,"5","33","4"
"100663",141901,"7","3","0"
"100663",150401,"2","16","4"
"100663",160501,"5","0","1"
"100663",160901,"5","0","1"
"100663",160905,"5","3","2"
"100663",170101,"2","0","12"
"100663",170102,"5","0","7"
"100663",170103,"2","3","1"
"100663",170205,"1","155","39"
"100663",170206,"2","33","2"
"100663",170208,"5","2","3"
"100663",170209,"2","10","15"
"100663",170209,"5","4","3"
"100663",170210,"2","6","8"
"100663",170306,"5","1","0"
"100663",170309,"2","0","5"
"100663",170310,"5","3","1"
"100663",170503,"2","0","14"
"100663",170506,"2","0","6"
"100663",170508,"5","3","3"
"100663",170807,"5","1","27"
"100663",170808,"2","1","17"
"100663",170813,"7","6","27"
"100663",170815,"2","2","30"
"100663",179999,"5","6","11"
"100663",179999,"7","3","9"
"100663",180204,"7","0","3"
"100663",180299,"5","1","1"
"100663",180299,"7","1","0"
"100663",180299,"9","2","0"
"100663",180401,"7","9","4"
"100663",180401,"10","39","7"
"100663",180701,"7","15","16"
"100663",180701,"9","3","1"
"100663",180703,"5","0","13"
"100663",181001,"10","111","43"
"100663",181101,"5","11","133"
"100663",181101,"7","8","91"
"100663",181101,"9","0","24"
"100663",181102,"5","3","11"
"100663",181102,"6","4","12"
"100663",181201,"10","24","20"
"100663",182299,"7","56","58"
"100663",182299,"9","5","2"
"100663",190503,"6","1","17"
"100663",230101,"5","5","27"
"100663",230101,"7","2","6"
"100663",260101,"5","34","27"
"100663",260101,"7","7","1"
"100663",260101,"9","3","0"
"100663",260201,"9","2","2"
"100663",260501,"9","5","4"
"100663",260601,"9","1","1"
"100663",260602,"7","3","0"
"100663",260609,"7","0","10"
"100663",260703,"9","1","1"
"100663",260704,"9","1","0"
"100663",260705,"9","1","1"
"100663",260706,"9","3","1"
"100663",270101,"5","4","3"
