unitid,calsys,crsloc1,crsloc2,crsloc3,crsloc4,crsloc5,crsloc6,facloc1,facloc2,facloc3,facloc4,facloc5,facloc6,facloc7,facloc8,facloc9,facloc10,mili,mil1insl,mil2insl,admreq1,admreq2,admreq3,admreq4,admreq5,avsat,admreq6,avact,admreq7,admreq8,admreq9,admreq10,admreq11,admreq12,admreq13,yrscol,mode1,mode2,mode3,mode4,mode5,mode6,mode7,mode8,mode9,mode10,mode11,mode12,mode13,mode14,stusrv1,stusrv2,stusrv3,stusrv4,stusrv5,stusrv6,stusrv7,stusrv8,stusrv9,libfac,libshar1,libshar2,libshar3,ftstu,apfee,applfeeu,applfeeg,applfeep,chgper1,chgper2,chgper3,chgper4,chgper5,tuition1,tuition2,tuition3,tuition4,tpugcred,tpugcont,tuition5,tuition6,tuition7,tuition8,tpgdcred,isprof1,osprof1,isprof2,osprof2,isprof3,osprof3,isprof4,osprof4,isprof5,osprof5,isprof6,osprof6,isprof7,osprof7,isprof8,osprof8,isprof9,osprof9,isprof10,osprof10,isprof11,osprof11,profna,tpfpcred,room,roomcap,board,mealswk,mealsvry,roomamt,boardamt,roombord,rmbrdamt,prgmoffr,pg300,cipcode1,ciptuit1,cipsupp1,ciplgth1,cipenrl1,cipcomp1,cipcode2,ciptuit2,cipsupp2,ciplgth2,cipenrl2,cipcomp2,cipcode3,ciptuit3,cipsupp3,ciplgth3,cipenrl3,cipcomp3,cipcode4,ciptuit4,cipsupp4,ciplgth4,cipenrl4,cipcomp4,cipcode5,ciptuit5,cipsupp5,ciplgth5,cipenrl5,cipcomp5,cipcode6,ciptuit6,cipsupp6,ciplgth6,cipenrl6,cipcomp6,enrolmnt,genenrl,month,tostucu,tostufrs,tostucg,tostucp,nofall,cdactua,cnactua,cdactga,cdactpa,cdactuf,cnactuf,cdactgf,cdactpf,sumses,sumses_a,sumses_b,sumses_c,sumcntug,sumcntgr,sumcntfp,cdactssu,cnactssu,cdactssg,cdactssp,extdiv,extdiv_a,extdiv_b,extdiv_c,extdiv_d,extcntug,extcntgr,extcntfp,cdactexu,cnactexu,cdactexg,cdactexp
"172121","1","1","-1","-1","-1","-1","-1","1","-1","-1","-1","1","-1","-1","-1","-1","-1","2","-1","-1","-1","1","1","1","1","","1","19","-1","-1","-1","-1","1","-1","-1","-1","-1","1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","1","1","1","1","-1","-1","-1","-1","-1","2","260211","","","1","1","20","","","1","-1","-1","-1","-1","6300","6300","6300","-1","30","","","","","-1","","","","","","","","","","","","","","","","","","","","","","","","-1","","1","75","1","","1","2150","2166","-1","","14","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"263","263","90195","299","28","0","0","-1","5243","0","0","0","2497","0","0","0","1","2","1","1","22","","","66","","","","1","1","","","","8","","","24","","",""
"157793","2","1","-1","-1","-1","-1","-1","1","-1","-1","-1","1","1","-1","-1","-1","-1","1","1","-1","-1","1","-1","1","1","","1","","1","-1","-1","-1","1","-1","-1","-1","1","1","-1","-1","-1","-1","-1","1","-1","-1","-1","-1","-1","-1","-1","1","1","1","-1","-1","1","-1","-1","1","","","","1","1","100","","","1","-1","-1","1","-1","8520","8520","8520","-1","60","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","-1","","1","180","2","","-1","2700","","-1","","50","1",220103,17425,1400,1210,,,120503,22685,1400,1694,,,110301,11745,700,748,,,520201,8905,700,572,,,520201,8905,700,572,,,81105,18685,1595,1144,,,"2147","2147","92795","2772","","0","0","-1","89438","0","0","0","25127","0","0","0","1","2","1","1","1636","0","0","15876","","0","0","1","2","1","1","2","152","","","4072","","",""
"158583","5","1","-1","-1","-1","-1","-1","1","-1","-1","-1","-1","-1","-1","-1","-1","-1","2","-1","-1","-1","1","-1","1","-1","","-1","","1","-1","1","1","-1","1","-1","-1","-1","-1","-1","-1","-1","-1","1","-1","-1","-1","-1","-1","-1","1","1","1","1","1","1","1","1","-1","-1","1","","","","1","2","","","","-1","-1","-1","-1","1","425","425","845","-1","","1248","","","","-1","","","","","","","","","","","","","","","","","","","","","","","","-1","","2","","2","","-1","","","-1","","","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"128","122","70195","311","77","","","-1","0","276432","","","0","43992","","","1","2","1","1","97","","","","29100","","","1","2","2","2","2","288","","","","359424","",""
"196103","1","1","-1","1","1","1","-1","1","-1","-1","-1","-1","1","-1","-1","-1","-1","2","-1","-1","-1","1","1","1","1","1165","1","","-1","-1","-1","-1","1","-1","-1","-1","-1","-1","-1","-1","-1","-1","1","-1","-1","-1","-1","-1","-1","1","1","1","1","1","1","1","1","-1","-1","1","","","","1","1","25","50","","-1","1","-1","-1","-1","3763","3763","8663","-1","24","","5436","5436","8752","-1","24","","","","","","","","","","","","","","","","","","","","","","","-1","","1","","1","","1","3540","3520","-1","","","-1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1718","1718","70195","1179","79","657","0","-1","27862","0","8834","0","14899","0","4749","0","2","-1","","","","","","","","","","1","2","2","2","2","430","751","","2580","","2253",""
"209409","2","1","-1","-1","-1","-1","-1","1","-1","-1","-1","1","-1","-1","-1","-1","-1","2","-1","-1","-1","1","-1","1","1","918","1","","-1","-1","-1","-1","1","-1","-1","-1","-1","-1","-1","-1","-1","-1","1","-1","-1","-1","-1","-1","-1","1","-1","1","1","1","1","1","1","-1","-1","1","","","","1","1","25","25","","1","-1","-1","-1","-1","9990","9990","9990","-1","45","","8784","8784","8784","-1","","","","","","","","","","","","","","","","","","","","","","","","-1","","1","161","1","","1","1852","2370","-1","","","-1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"404","408","70195","388","69","62","0","-1","14227","0","1778","0","4738","0","631","0","2","-1","","","","","","","","","","1","2","1","2","1","147","","","5664","","",""
"128498","7","1","-1","-1","1","-1","-1","1","-1","1","-1","-1","1","-1","-1","-1","-1","2","-1","-1","-1","1","1","1","1","","1","","-1","-1","1","-1","1","-1","1","-1","-1","1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","1","1","-1","-1","-1","-1","1","-1","-1","1","","","","1","1","35","35","","-1","1","-1","-1","-1","13000","13000","13000","-1","30","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","-1","","1","184","1","19","-1","2859","3098","-1","","","-1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"935","935","70195","1373","937","26","0","-1","25615","0","216","0","10324","0","69","0","2","-1","","","","","","","","","","1","2","1","1","1","1049","","","16408","","",""
"166027","1","1","-1","-1","1","-1","-1","1","-1","-1","-1","-1","1","-1","-1","-1","-1","2","-1","-1","-1","-1","1","1","1","","-1","","1","-1","1","-1","1","-1","1","-1","1","1","-1","-1","-1","-1","-1","1","1","-1","-1","-1","-1","-1","1","1","1","1","1","1","1","1","-1","1","","","","1","1","50","70","70","-1","-1","1","-1","-1","20424","20424","20424","-1","","","20424","20424","20424","-1","","","","24774","24774","24774","24774","","","","","","","","","","","22354","22354","13484","13484","","","-1","","1","8250","1","21","-1","5136","3336","-1","","","-1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"24687","24687","70195","13979","1624","14918","2716","-1","314430","0","292776","86912","122775","0","114324","43168","1","-1","","","1558","2101","","4674","","6303","","1","1","1","1","2","7345","3295","","88140","","29655",""
"228431","1","1","-1","-1","1","-1","-1","1","1","1","-1","-1","1","-1","-1","-1","-1","2","-1","-1","-1","1","1","1","1","977","1","20","-1","-1","1","-1","1","-1","-1","-1","1","1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","1","1","1","1","1","1","1","1","-1","-1","1","","","","1","2","","","","1","-1","-1","-1","-1","2127","2127","7827","-1","30","","1706","1706","6266","-1","24","","","","","","","","","","","","","","","","","","","","","","","-1","","1","4436","1","20","-1","","","1","3808","","-1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11758","11758","70195","12261","2151","2496","0","-1","309375","0","24269","0","139995","0","10956","0","1","2","1","1","5223","1097","","44302","","6456","","2","-1","","","","","","","","","",""
"208318","2","1","-1","-1","1","-1","-1","1","-1","1","1","1","1","-1","1","1","1","2","-1","-1","-1","1","-1","-1","-1","","-1","","-1","-1","1","1","1","-1","-1","-1","1","1","1","-1","1","-1","-1","1","1","1","-1","1","-1","-1","1","1","1","1","1","1","1","-1","-1","1","","","","1","2","","","","1","-1","-1","-1","-1","1620","2115","5805","-1","45","","","","","-1","","","","","","","","","","","","","","","","","","","","","","","","-1","","1","101","1","19","-1","","","1","4250","","-1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3240","3047","70195","5412","508","","","-1","146160","0","","","26951","0","","","1","2","1","1","866","","","4247","","","","2","-1","","","","","","","","","",""
"239460","1","1","-1","-1","1","-1","-1","1","-1","1","-1","-1","1","-1","1","1","-1","2","-1","-1","-1","1","-1","1","-1","","-1","","1","1","1","1","1","-1","1","-1","-1","1","1","1","1","-1","-1","-1","1","-1","-1","-1","-1","-1","1","1","1","1","1","1","1","-1","-1","1","","","","1","1","25","","","1","-1","-1","-1","-1","2085","2085","12926","-1","34","","","","","-1","","","","","","","","","","","","","","","","","","","","","","","","-1","","1","86","1","14","-1","","","1","2900","","-1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3500","3500","60195","5483","465","","","-1","50920","1631879","","","25745","822597","","","1","2","1","1","631","","","1755","52566","","","2","-1","","","","","","","","","",""
