unitid,cipcode,awlevel,crace15,crace16
"100636",90501,"3","16","16"
"100636",100199,"3","624","201"
"100636",110301,"3","109","4"
"100636",139999,"3","1228","180"
"100636",150301,"3","1250","147"
"100636",150303,"3","194","9"
"100636",150401,"3","55","5"
"100636",150599,"3","20","1"
"100636",150611,"3","42","6"
"100636",150699,"3","73","25"
"100636",150701,"3","19","6"
"100636",151001,"3","116","9"
"100636",159999,"3","305","23"
"100636",220199,"3","11","30"
"100636",290101,"3","178","15"
"100636",319999,"3","6","1"
"100636",400401,"3","96","23"
"100636",410399,"3","31","0"
"100636",430109,"3","281","16"
"100636",430199,"3","212","28"
"100636",430203,"3","103","2"
"100636",440701,"3","27","20"
"100636",450899,"3","2","0"
"100636",470607,"3","907","69"
"100636",470609,"3","826","81"
"100636",470699,"3","218","16"
"100636",480299,"3","4","1"
"100636",490101,"3","283","28"
"100636",490199,"3","266","57"
"100636",500402,"3","29","18"
"100636",500901,"3","8","3"
"100636",510501,"3","149","86"
"100636",510601,"3","43","34"
"100636",510603,"3","20","5"
"100636",510799,"3","56","33"
"100636",510806,"3","23","11"
"100636",510901,"3","12","5"
"100636",510905,"3","1","1"
"100636",510907,"3","24","8"
"100636",510909,"3","13","11"
"100636",511003,"3","7","1"
"100636",511004,"3","54","40"
"100636",511006,"3","5","3"
"100636",511313,"3","17","2"
"100636",512002,"3","18","10"
"100636",512202,"3","22","13"
"100636",512206,"3","28","9"
"100636",512702,"3","4","7"
"100636",520202,"3","48","22"
"100636",520203,"3","333","149"
"100636",520204,"3","198","129"
"100636",520801,"3","93","52"
"100636",520902,"3","50","17"
"100636",521001,"3","356","176"
"100636",521201,"3","25","8"
"100636",990000,"3","9138","1872"
"100654",10101,"5","3","0"
"100654",10102,"5","4","0"
"100654",10103,"5","1","0"
"100654",20301,"5","1","7"
"100654",20403,"5","2","1"
"100654",20499,"5","1","1"
"100654",29999,"5","1","1"
"100654",30499,"5","4","1"
"100654",40301,"5","7","2"
"100654",100104,"5","6","14"
"100654",110101,"5","13","16"
"100654",131001,"5","0","9"
"100654",131012,"5","0","12"
"100654",131202,"5","5","29"
"100654",131204,"5","1","11"
"100654",131205,"5","11","9"
"100654",131302,"5","3","2"
"100654",131312,"5","3","1"
"100654",131314,"5","7","2"
"100654",140801,"5","6","4"
"100654",150201,"5","3","1"
"100654",150399,"5","24","2"
"100654",150805,"5","2","0"
"100654",150899,"5","6","0"
"100654",190101,"5","2","0"
"100654",190501,"5","2","1"
"100654",190901,"5","0","3"
"100654",230101,"5","1","3"
"100654",260101,"5","8","21"
"100654",270101,"5","2","4"
"100654",309999,"5","4","2"
"100654",400501,"5","5","2"
"100654",400801,"5","4","0"
"100654",420101,"5","6","10"
"100654",440701,"5","2","14"
"100654",450801,"5","1","1"
"100654",451001,"5","3","10"
"100654",451101,"5","5","3"
"100654",480299,"5","1","1"
"100654",520101,"5","9","6"
"100654",520201,"5","34","31"
