unitid,cipcode,awlevel,crace15,crace16
"129941",150701,"7","5","2"
"129941",260603,"7","7","8"
"129941",270302,"7","5","0"
"129941",420401,"7","0","9"
"129941",420901,"7","7","12"
"129941",430104,"7","4","0"
"129941",430106,"7","6","6"
"129941",430201,"7","3","0"
"129941",440401,"7","14","14"
"129941",520201,"7","261","147"
"129941",520301,"7","4","2"
"129941",521002,"7","2","8"
"129941",521601,"7","10","3"
"129941",990000,"7","410","229"
"129941",520201,"9","2","0"
"129941",990000,"9","2","0"
"129941",990000,"10","0","0"
"130004",310101,"1","3","5"
"130004",450301,"1","1","4"
"130004",510904,"1","6","4"
"130004",990000,"1","10","13"
"130004",220103,"2","2","6"
"130004",250301,"2","0","7"
"130004",520401,"2","0","1"
"130004",520402,"2","0","1"
"130004",990000,"2","2","15"
"130004",89999,"3","6","5"
"130004",200201,"3","0","8"
"130004",220103,"3","1","7"
"130004",240101,"3","19","51"
"130004",250301,"3","0","1"
"130004",310101,"3","2","2"
"130004",430107,"3","11","3"
"130004",510908,"3","4","5"
"130004",511501,"3","2","1"
"130004",511502,"3","0","6"
"130004",511601,"3","2","40"
"130004",520302,"3","7","20"
"130004",520401,"3","0","8"
"130004",521201,"3","5","4"
"130004",529999,"3","27","36"
"130004",990000,"3","86","197"
"130013",110401,"3","7","1"
"130013",150101,"3","8","3"
"130013",150201,"3","4","1"
"130013",150304,"3","6","0"
"130013",150399,"3","20","2"
"130013",150403,"3","7","0"
"130013",150603,"3","4","0"
"130013",150805,"3","11","1"
"130013",159999,"3","8","0"
"130013",430299,"3","3","0"
"130013",990000,"3","78","8"
"130040",510205,"1","0","5"
"130040",512309,"1","1","4"
"130040",520401,"1","0","8"
"130040",520406,"1","0","4"
"130040",521299,"1","2","2"
"130040",990000,"1","3","23"
"130040",89999,"3","1","1"
"130040",200201,"3","0","7"
"130040",220103,"3","1","3"
"130040",240101,"3","10","11"
"130040",240102,"3","12","11"
"130040",310101,"3","6","3"
"130040",430107,"3","8","5"
"130040",500701,"3","6","14"
"130040",510205,"3","0","9"
"130040",510801,"3","0","9"
"130040",511501,"3","2","0"
"130040",511502,"3","1","8"
"130040",520302,"3","1","9"
"130040",520402,"3","0","2"
"130040",520403,"3","0","3"
"130040",529999,"3","8","12"
"130040",990000,"3","56","107"
"130086",511601,"4","0","76"
"130086",990000,"4","0","76"
"130110",40501,"2","0","1"
"130110",500402,"2","0","2"
"130110",990000,"2","0","3"
"130110",100103,"3","0","5"
"130110",990000,"3","0","5"
"130110",40501,"5","0","4"
"130110",500402,"5","4","24"
