pct_baplus1940,pct_baplus2024,gain_pp,county
2.36232791,46.41832575,44.055996,Oldham
8.140088124,48.29331934,40.153233,Fayette
3.223652398,39.74477222,36.521118,Campbell
5.406714009,40.7421014,35.335388,Woodford
3.058998776,37.42576616,34.366768,Kenton
2.560386473,35.70810062,33.147713,Boone
4.612360461,37.02823891,32.415878,Jefferson
5.095619988,34.73072138,29.635101,Scott
3.314308601,32.82728016,29.512972,Shelby
5.187586846,33.53239529,28.344809,Jessamine
6.295835063,34.43228318,28.136448,Madison
3.729409587,31.18416043,27.45475,Calloway
5.170270942,32.33429195,27.164021,Warren
5.722091523,31.8568294,26.134737,Franklin
3.157783567,29.04062592,25.882843,McCracken
2.530322041,26.20283019,23.672508,Anderson
3.517985612,26.24085966,22.722874,Daviess
3.641190973,25.92823929,22.287048,Rowan
1.749002762,23.5879695,21.838966,Spencer
4.985841424,26.25686218,21.271021,Bourbon
1.754127358,23.01568989,21.261562,Taylor
3.78250591,24.90507314,21.122568,Mercer
3.995363742,24.84744903,20.852085,Hardin
1.186699565,21.7594759,20.572777,Adair
1.391929934,21.7404072,20.348476,Trigg
2.489626556,22.46920997,19.979584,Harrison
3.918423465,23.8125588,19.894135,Nelson
2.19951122,21.21906904,19.019558,Marshall
7.4090028,26.21187494,18.802872,Boyle
2.134125285,20.92430072,18.790174,Whitley
1.445285616,19.98302127,18.537735,Meade
0.900383142,19.1241556,18.223772,Cumberland
1.533804238,19.46932117,17.935516,Bullitt
1.630358398,19.49808944,17.867731,Knott
5.060483871,22.92001531,17.859531,Clark
0.910902363,18.73849433,17.827593,Morgan
2.52,20.14848289,17.628483,Henderson
0.517435321,18.04076666,17.523331,Clinton
1.114513166,18.41749932,17.302986,Allen
1.546671491,18.80117532,17.254503,Greenup
3.828125,20.93119077,17.103065,Montgomery
1.93377852,18.91325071,16.979473,Fleming
2.673267327,19.63522165,16.961954,Christian
3.066391598,19.953189,16.886797,Mason
2.733040508,19.58907308,16.856033,Washington
1.727982163,18.41630592,16.688324,Ballard
1.513519642,18.11037148,16.596851,Pulaski
0.865800866,17.39288749,16.527086,Green
1.269340544,17.79398762,16.524647,Pike
1.892656935,18.3999358,16.507278,Graves
1.841004184,18.28310965,16.442106,Owen
2.422198375,18.78894509,16.366747,Simpson
2.028716337,18.32314129,16.294424,Barren
2.444026662,18.71606515,16.272039,Garrard
1.920152091,17.8450034,15.924851,Bracken
1.363383417,17.26978998,15.906406,Hancock
4.152008686,20.03445658,15.882448,Boyd
1.279391425,17.07953064,15.800139,Trimble
1.793598234,17.50239759,15.708799,Laurel
1.384501022,16.75139807,15.366897,Johnson
1.205533597,16.54909707,15.343563,Lyon
1.514386673,16.82169321,15.307306,McLean
0.821196157,16.02073882,15.199543,Monroe
1.182254477,16.1406182,14.958364,Grayson
2.190051967,17.08446251,14.89441,Caldwell
2.021230188,16.91361565,14.892385,Hopkins
0.673740947,15.40542691,14.731686,Russell
1.223124701,15.94505495,14.721931,Carter
1.874252293,16.52943345,14.655181,Todd
0.76249647,15.27929901,14.516803,Lewis
1.002506266,15.4991001,14.496593,Clay
1.239008793,15.50160589,14.262597,Larue
1.133558366,15.31954134,14.185983,Floyd
1.221020093,15.26449968,14.04348,Crittenden
2.30738523,16.09272897,13.785344,Logan
1.123595506,14.85998193,13.736386,Menifee
2.392749245,16.10377992,13.711031,Fulton
1.611438947,15.30494822,13.693509,Breathitt
1.275806077,14.93902439,13.663218,Carlisle
1.80660702,15.36499215,13.558385,Pendleton
1.175729582,14.71650699,13.540777,Livingston
1.253263708,14.64848971,13.395226,Lawrence
2.442356027,15.76351717,13.321161,Bell
2.648501362,15.93727641,13.288775,Lincoln
2.088960922,15.29925414,13.210293,Grant
1.499500167,14.6622208,13.162721,Muhlenberg
2.440467386,15.51881622,13.078349,Henry
0.852734164,13.89730225,13.044568,Wayne
2.040816327,15.01000667,12.969191,Gallatin
2.164762477,15.12253437,12.957772,Hickman
1.256752288,14.18282548,12.926073,Breckinridge
1.828285635,14.75248039,12.924194,Perry
0.96543133,13.78448961,12.819058,Powell
1.02989558,13.7481533,12.718258,Rockcastle
2.589796981,15.0580285,12.468231,Marion
1.498691618,13.86199667,12.363305,Ohio
1.468274777,13.77777778,12.309503,Robertson
0.669099757,12.90959691,12.240498,Casey
0.935114504,12.96630148,12.031187,Metcalfe
1.004947434,12.81507362,11.810126,Magoffin
2.16011149,13.60259753,11.442486,Knox
1.811982465,13.04710992,11.235127,Harlan
1.68612192,12.75597758,11.069856,Webster
1.460558487,12.48239319,11.021834,Letcher
1.290776813,12.22330607,10.932529,Hart
2.287946429,13.09347964,10.805533,Union
1.493906434,12.20282135,10.708915,Estill
2.198198198,12.2665733,10.068375,Bath
1.458990536,11.46294248,10.003952,Leslie
1.268671987,10.72656922,9.4578972,Edmonson
0.743971267,10.19100431,9.4470329,Martin
2.460202605,11.35984427,8.899642,Carroll
0.981253661,9.872281671,8.8910284,Butler
1.292810161,9.248133989,7.9553237,Lee
0.888673453,8.838439497,7.9497662,Jackson
0.905373832,8.671889233,7.7665153,Elliott
1.012906388,8.480268682,7.4673624,McCreary
1.313755796,8.687943262,7.3741875,Wolfe
2.52346194,9.81867284,7.2952108,Nicholas
1,7.121160985,6.121161,Owsley
