pct_baplus1940,pct_baplus2024,state,county,rank_change
6.329114,0,Texas,Loving,-2933
6.1125321,7.3979917,Texas,Reeves,-2912
5.9953432,6.1488008,Nevada,Pershing,-2908
5.9852052,12.60745,Texas,Crane,-2751
5.1975946,8.7054577,Texas,Upton,-2748
6.402164,13.592233,Texas,Reagan,-2704
5.2664776,11.434434,Texas,Deaf Smith,-2698
5.5274067,12.295597,Texas,Moore,-2694
5.4760513,12.358846,Nevada,White Pine,-2683
5.1264524,10.676329,Texas,Crockett,-2680
