Geo_FIPS	Geo_GEOID	Geo_NAME	Geo_QName	Geo_STUSAB	Geo_SUMLEV	Geo_GEOCOMP	Geo_FILEID	Geo_LOGRECNO	Geo_US	Geo_REGION	Geo_DIVISION	Geo_STATECE	Geo_STATE	Geo_COUNTY	Geo_COUSUB	Geo_PLACE	Geo_PLACESE	Geo_TRACT	Geo_BLKGRP	Geo_CONCIT	Geo_AIANHH	Geo_AIANHHFP	Geo_AIHHTLI	Geo_AITSCE	Geo_AITS	Geo_ANRC	Geo_CBSA	Geo_CSA	Geo_METDIV	Geo_MACC	Geo_MEMI	Geo_NECTA	Geo_CNECTA	Geo_NECTADIV	Geo_UA	Geo_UACP	Geo_CDCURR	Geo_SLDU	Geo_SLDL	Geo_VTD	Geo_ZCTA3	Geo_ZCTA5	Geo_SUBMCD	Geo_SDELM	Geo_SDSEC	Geo_SDUNI	Geo_UR	Geo_PCI	Geo_TAZ	Geo_UGA	Geo_BTTR	Geo_BTBG	Geo_PUMA5	Geo_PUMA1	SE_A12002_001	SE_A12002_002	SE_A12002_003	SE_A12002_004	SE_A12002_005	SE_A12002_006	SE_A12002_007	SE_A12002_008
"21001970100"	"14000US21001970100"	"Census Tract 9701, Adair County, Kentucky"	"Census Tract 9701, Adair County, Kentucky"	"ky"	"140"	"00"	"ACSSF"	"0003973"	""	""	""	""	"21"	"001"	""	""	""	"970100"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	1268	356	454	371	34	2	51	0
"21001970200"	"14000US21001970200"	"Census Tract 9702, Adair County, Kentucky"	"Census Tract 9702, Adair County, Kentucky"	"ky"	"140"	"00"	"ACSSF"	"0003974"	""	""	""	""	"21"	"001"	""	""	""	"970200"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	1179	261	550	195	79	83	0	11
"21001970300"	"14000US21001970300"	"Census Tract 9703, Adair County, Kentucky"	"Census Tract 9703, Adair County, Kentucky"	"ky"	"140"	"00"	"ACSSF"	"0003975"	""	""	""	""	"21"	"001"	""	""	""	"970300"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	2151	881	837	241	146	36	10	0
"21001970401"	"14000US21001970401"	"Census Tract 9704.01, Adair County, Kentucky"	"Census Tract 9704.01, Adair County, Kentucky"	"ky"	"140"	"00"	"ACSSF"	"0003976"	""	""	""	""	"21"	"001"	""	""	""	"970401"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	2696	792	839	556	135	206	168	0
"21001970402"	"14000US21001970402"	"Census Tract 9704.02, Adair County, Kentucky"	"Census Tract 9704.02, Adair County, Kentucky"	"ky"	"140"	"00"	"ACSSF"	"0003977"	""	""	""	""	"21"	"001"	""	""	""	"970402"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	2357	671	657	629	145	209	32	14
"21001970500"	"14000US21001970500"	"Census Tract 9705, Adair County, Kentucky"	"Census Tract 9705, Adair County, Kentucky"	"ky"	"140"	"00"	"ACSSF"	"0003978"	""	""	""	""	"21"	"001"	""	""	""	"970500"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	1470	579	478	272	95	39	7	0
"21001970600"	"14000US21001970600"	"Census Tract 9706, Adair County, Kentucky"	"Census Tract 9706, Adair County, Kentucky"	"ky"	"140"	"00"	"ACSSF"	"0003979"	""	""	""	""	"21"	"001"	""	""	""	"970600"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	1107	286	491	74	168	88	0	0
"21003920100"	"14000US21003920100"	"Census Tract 9201, Allen County, Kentucky"	"Census Tract 9201, Allen County, Kentucky"	"ky"	"140"	"00"	"ACSSF"	"0003980"	""	""	""	""	"21"	"003"	""	""	""	"920100"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	2352	532	881	633	150	115	33	8
"21003920200"	"14000US21003920200"	"Census Tract 9202, Allen County, Kentucky"	"Census Tract 9202, Allen County, Kentucky"	"ky"	"140"	"00"	"ACSSF"	"0003981"	""	""	""	""	"21"	"003"	""	""	""	"920200"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	1562	337	400	511	228	72	14	0
"21003920300"	"14000US21003920300"	"Census Tract 9203, Allen County, Kentucky"	"Census Tract 9203, Allen County, Kentucky"	"ky"	"140"	"00"	"ACSSF"	"0003982"	""	""	""	""	"21"	"003"	""	""	""	"920300"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	3030	767	1184	695	134	184	66	0
