Geo__geoid_	Geo_qname	Geo_FILEID	Geo_STUSAB	Geo_SUMLEV	Geo_GEOCOMP	Geo_US	Geo_REGION	Geo_DIVISION	Geo_STATE	Geo_COUNTY	Geo_COUSUB	Geo_PLACE	Geo_TRACT	Geo_BLKGRP	Geo_CONCIT	Geo_AIANHH	Geo_AIANHHFP	Geo_AIHHTLI	Geo_AITS	Geo_ANRC	Geo_CBSA	Geo_CSA	Geo_METDIV	Geo_MACC	Geo_MEMI	Geo_NECTA	Geo_CNECTA	Geo_NECTADIV	Geo_UA	Geo_CDCURR	Geo_SLDU	Geo_SLDL	Geo_ZCTA3	Geo_ZCTA5	Geo_SUBMCD	Geo_SDELM	Geo_SDSEC	Geo_SDUNI	Geo_UR	Geo_PCI	Geo_PUMA5	Geo_NAME	Geo_BTTR	Geo_BTBG	Geo_PLACESE	SE_A12002_001	SE_A12002_002	SE_A12002_003	SE_A12002_004	SE_A12002_005	SE_A12002_006	SE_A12002_007	SE_A12002_008
"21111011008"	"Census Tract 110.08, Jefferson County, Kentucky"	"ACSSF"	"KY"	140	0	.	.	.	21	111	.	.	11008	.	.	.	.	""	.	.	.	.	.	.	.	.	.	.	.	""	""	""	.	.	.	.	.	.	.	.	.	"Census Tract 110.08, Jefferson County, Kentucky"	""	""	21	2631	133	741	680	585	357	48	87
"21111011009"	"Census Tract 110.09, Jefferson County, Kentucky"	"ACSSF"	"KY"	140	0	.	.	.	21	111	.	.	11009	.	.	.	.	""	.	.	.	.	.	.	.	.	.	.	.	""	""	""	.	.	.	.	.	.	.	.	.	"Census Tract 110.09, Jefferson County, Kentucky"	""	""	21	2652	139	692	687	547	443	21	123
"21111011109"	"Census Tract 111.09, Jefferson County, Kentucky"	"ACSSF"	"KY"	140	0	.	.	.	21	111	.	.	11109	.	.	.	.	""	.	.	.	.	.	.	.	.	.	.	.	""	""	""	.	.	.	.	.	.	.	.	.	"Census Tract 111.09, Jefferson County, Kentucky"	""	""	21	1730	131	473	571	368	145	7	35
"21111011110"	"Census Tract 111.10, Jefferson County, Kentucky"	"ACSSF"	"KY"	140	0	.	.	.	21	111	.	.	11110	.	.	.	.	""	.	.	.	.	.	.	.	.	.	.	.	""	""	""	.	.	.	.	.	.	.	.	.	"Census Tract 111.10, Jefferson County, Kentucky"	""	""	21	4679	268	903	1875	1057	365	99	112
"21111011111"	"Census Tract 111.11, Jefferson County, Kentucky"	"ACSSF"	"KY"	140	0	.	.	.	21	111	.	.	11111	.	.	.	.	""	.	.	.	.	.	.	.	.	.	.	.	""	""	""	.	.	.	.	.	.	.	.	.	"Census Tract 111.11, Jefferson County, Kentucky"	""	""	21	4129	192	592	1379	1119	497	83	267
"21111011112"	"Census Tract 111.12, Jefferson County, Kentucky"	"ACSSF"	"KY"	140	0	.	.	.	21	111	.	.	11112	.	.	.	.	""	.	.	.	.	.	.	.	.	.	.	.	""	""	""	.	.	.	.	.	.	.	.	.	"Census Tract 111.12, Jefferson County, Kentucky"	""	""	21	2735	88	846	994	523	209	50	25
"21111011113"	"Census Tract 111.13, Jefferson County, Kentucky"	"ACSSF"	"KY"	140	0	.	.	.	21	111	.	.	11113	.	.	.	.	""	.	.	.	.	.	.	.	.	.	.	.	""	""	""	.	.	.	.	.	.	.	.	.	"Census Tract 111.13, Jefferson County, Kentucky"	""	""	21	2275	50	537	742	510	363	21	52
"21111011114"	"Census Tract 111.14, Jefferson County, Kentucky"	"ACSSF"	"KY"	140	0	.	.	.	21	111	.	.	11114	.	.	.	.	""	.	.	.	.	.	.	.	.	.	.	.	""	""	""	.	.	.	.	.	.	.	.	.	"Census Tract 111.14, Jefferson County, Kentucky"	""	""	21	4220	171	1108	1492	845	514	75	15
"21111011115"	"Census Tract 111.15, Jefferson County, Kentucky"	"ACSSF"	"KY"	140	0	.	.	.	21	111	.	.	11115	.	.	.	.	""	.	.	.	.	.	.	.	.	.	.	.	""	""	""	.	.	.	.	.	.	.	.	.	"Census Tract 111.15, Jefferson County, Kentucky"	""	""	21	2382	171	888	629	476	174	36	8
"21111011116"	"Census Tract 111.16, Jefferson County, Kentucky"	"ACSSF"	"KY"	140	0	.	.	.	21	111	.	.	11116	.	.	.	.	""	.	.	.	.	.	.	.	.	.	.	.	""	""	""	.	.	.	.	.	.	.	.	.	"Census Tract 111.16, Jefferson County, Kentucky"	""	""	21	2750	335	426	834	657	406	92	0
