Geo__geoid_	Geo_qname	Geo_STUSAB	Geo_SUMLEV	Geo_GEOCOMP	Geo_US	Geo_REGION	Geo_DIVISION	Geo_STATE	Geo_COUNTY	Geo_COUSUB	Geo_PLACE	Geo_TRACT	Geo_BLKGRP	Geo_CONCIT	Geo_AIANHH	Geo_AIANHHFP	Geo_AIHHTLI	Geo_AITS	Geo_ANRC	Geo_CBSA	Geo_CSA	Geo_METDIV	Geo_MACC	Geo_MEMI	Geo_NECTA	Geo_CNECTA	Geo_NECTADIV	Geo_UA	Geo_CDCURR	Geo_SLDU	Geo_SLDL	Geo_ZCTA3	Geo_ZCTA5	Geo_SUBMCD	Geo_SDELM	Geo_SDSEC	Geo_SDUNI	Geo_UR	Geo_PCI	Geo_PUMA5	Geo_GEO_ID	Geo_NAME	Geo_BTTR	Geo_BTBG	Geo_PLACESE	SE_A12002_001	SE_A12002_002	SE_A12002_003	SE_A12002_004	SE_A12002_005	SE_A12002_006	SE_A12002_007	SE_A12002_008
"21111008100"	"Census Tract 81, Jefferson County, Kentucky"	"KY"	140	0	.	.	.	21	111	.	.	8100	.	.	.	.	""	.	.	.	.	.	.	.	.	.	.	.	""	""	""	.	.	.	.	.	.	.	.	.	"1400000US21111008100"	"Census Tract 81, Jefferson County, Kentucky"	""	""	21	2965	67	732	759	618	420	201	168
"21111008201"	"Census Tract 82.01, Jefferson County, Kentucky"	"KY"	140	0	.	.	.	21	111	.	.	8201	.	.	.	.	""	.	.	.	.	.	.	.	.	.	.	.	""	""	""	.	.	.	.	.	.	.	.	.	"1400000US21111008201"	"Census Tract 82.01, Jefferson County, Kentucky"	""	""	21	1506	0	82	317	507	372	132	96
"21111008202"	"Census Tract 82.02, Jefferson County, Kentucky"	"KY"	140	0	.	.	.	21	111	.	.	8202	.	.	.	.	""	.	.	.	.	.	.	.	.	.	.	.	""	""	""	.	.	.	.	.	.	.	.	.	"1400000US21111008202"	"Census Tract 82.02, Jefferson County, Kentucky"	""	""	21	1869	15	148	483	476	450	170	127
"21111008300"	"Census Tract 83, Jefferson County, Kentucky"	"KY"	140	0	.	.	.	21	111	.	.	8300	.	.	.	.	""	.	.	.	.	.	.	.	.	.	.	.	""	""	""	.	.	.	.	.	.	.	.	.	"1400000US21111008300"	"Census Tract 83, Jefferson County, Kentucky"	""	""	21	1875	7	163	427	713	275	206	84
"21111008400"	"Census Tract 84, Jefferson County, Kentucky"	"KY"	140	0	.	.	.	21	111	.	.	8400	.	.	.	.	""	.	.	.	.	.	.	.	.	.	.	.	""	""	""	.	.	.	.	.	.	.	.	.	"1400000US21111008400"	"Census Tract 84, Jefferson County, Kentucky"	""	""	21	2470	41	201	433	794	644	218	139
"21111008500"	"Census Tract 85, Jefferson County, Kentucky"	"KY"	140	0	.	.	.	21	111	.	.	8500	.	.	.	.	""	.	.	.	.	.	.	.	.	.	.	.	""	""	""	.	.	.	.	.	.	.	.	.	"1400000US21111008500"	"Census Tract 85, Jefferson County, Kentucky"	""	""	21	1565	32	71	352	595	308	145	62
"21111008700"	"Census Tract 87, Jefferson County, Kentucky"	"KY"	140	0	.	.	.	21	111	.	.	8700	.	.	.	.	""	.	.	.	.	.	.	.	.	.	.	.	""	""	""	.	.	.	.	.	.	.	.	.	"1400000US21111008700"	"Census Tract 87, Jefferson County, Kentucky"	""	""	21	2676	24	214	380	1067	488	313	190
"21111008800"	"Census Tract 88, Jefferson County, Kentucky"	"KY"	140	0	.	.	.	21	111	.	.	8800	.	.	.	.	""	.	.	.	.	.	.	.	.	.	.	.	""	""	""	.	.	.	.	.	.	.	.	.	"1400000US21111008800"	"Census Tract 88, Jefferson County, Kentucky"	""	""	21	2696	41	213	522	957	584	263	116
"21111008900"	"Census Tract 89, Jefferson County, Kentucky"	"KY"	140	0	.	.	.	21	111	.	.	8900	.	.	.	.	""	.	.	.	.	.	.	.	.	.	.	.	""	""	""	.	.	.	.	.	.	.	.	.	"1400000US21111008900"	"Census Tract 89, Jefferson County, Kentucky"	""	""	21	2838	46	206	401	984	757	320	124
"21111009001"	"Census Tract 90.01, Jefferson County, Kentucky"	"KY"	140	0	.	.	.	21	111	.	.	9001	.	.	.	.	""	.	.	.	.	.	.	.	.	.	.	.	""	""	""	.	.	.	.	.	.	.	.	.	"1400000US21111009001"	"Census Tract 90.01, Jefferson County, Kentucky"	""	""	21	2327	402	426	1163	206	113	17	0
"21111009002"	"Census Tract 90.02, Jefferson County, Kentucky"	"KY"	140	0	.	.	.	21	111	.	.	9002	.	.	.	.	""	.	.	.	.	.	.	.	.	.	.	.	""	""	""	.	.	.	.	.	.	.	.	.	"1400000US21111009002"	"Census Tract 90.02, Jefferson County, Kentucky"	""	""	21	2730	320	523	748	603	400	46	90
"21111009103"	"Census Tract 91.03, Jefferson County, Kentucky"	"KY"	140	0	.	.	.	21	111	.	.	9103	.	.	.	.	""	.	.	.	.	.	.	.	.	.	.	.	""	""	""	.	.	.	.	.	.	.	.	.	"1400000US21111009103"	"Census Tract 91.03, Jefferson County, Kentucky"	""	""	21	818	296	260	164	82	16	0	0
