Geo_FIPS	Geo_QName	Geo_FILEID	Geo_STUSAB	Geo_SUMLEV	Geo_GEOCOMP	Geo_LOGRECNO	Geo_US	Geo_REGION	Geo_DIVISION	Geo_STATECE	Geo_STATE	Geo_COUNTY	Geo_COUSUB	Geo_PLACE	Geo_TRACT	Geo_BLKGRP	Geo_CONCIT	Geo_AIANHH	Geo_AIANHHFP	Geo_AIHHTLI	Geo_AITSCE	Geo_AITS	Geo_ANRC	Geo_CBSA	Geo_CSA	Geo_METDIV	Geo_MACC	Geo_MEMI	Geo_NECTA	Geo_CNECTA	Geo_NECTADIV	Geo_UA	Geo_UACP	Geo_CDCURR	Geo_SLDU	Geo_SLDL	Geo_VTD	Geo_ZCTA3	Geo_ZCTA5	Geo_SUBMCD	Geo_SDELM	Geo_SDSEC	Geo_SDUNI	Geo_UR	Geo_PCI	Geo_TAZ	Geo_UGA	Geo_PUMA5	Geo_PUMA1	Geo_GEOID	Geo_NAME	Geo_BTTR	Geo_BTBG	Geo_PLACESE	SE_A12002_001	SE_A12002_002	SE_A12002_003	SE_A12002_004	SE_A12002_005	SE_A12002_006	SE_A12002_007	SE_A12002_008
"21203950100"	"Census Tract 9501, Rockcastle County, Kentucky"	"ACSSF"	"ky"	"140"	"00"	"0002976"	""	""	""	""	"21"	"203"	""	""	"950100"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"14000US21203950100"	"Census Tract 9501"	""	""	""	2454	518	1155	621	90	62	0	8
"21203950201"	"Census Tract 9502.01, Rockcastle County, Kentucky"	"ACSSF"	"ky"	"140"	"00"	"0002977"	""	""	""	""	"21"	"203"	""	""	"950201"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"14000US21203950201"	"Census Tract 9502.01"	""	""	""	2229	439	1044	359	225	144	18	0
"21203950202"	"Census Tract 9502.02, Rockcastle County, Kentucky"	"ACSSF"	"ky"	"140"	"00"	"0002978"	""	""	""	""	"21"	"203"	""	""	"950202"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"14000US21203950202"	"Census Tract 9502.02"	""	""	""	2477	524	783	718	274	163	15	0
"21203950300"	"Census Tract 9503, Rockcastle County, Kentucky"	"ACSSF"	"ky"	"140"	"00"	"0002979"	""	""	""	""	"21"	"203"	""	""	"950300"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"14000US21203950300"	"Census Tract 9503"	""	""	""	2852	411	1331	756	122	192	40	0
"21203950400"	"Census Tract 9504, Rockcastle County, Kentucky"	"ACSSF"	"ky"	"140"	"00"	"0002980"	""	""	""	""	"21"	"203"	""	""	"950400"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"14000US21203950400"	"Census Tract 9504"	""	""	""	1875	469	758	471	147	10	20	0
"21205950100"	"Census Tract 9501, Rowan County, Kentucky"	"ACSSF"	"ky"	"140"	"00"	"0002981"	""	""	""	""	"21"	"205"	""	""	"950100"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"14000US21205950100"	"Census Tract 9501"	""	""	""	3784	505	1103	959	410	518	43	246
"21205950201"	"Census Tract 9502.01, Rowan County, Kentucky"	"ACSSF"	"ky"	"140"	"00"	"0002982"	""	""	""	""	"21"	"205"	""	""	"950201"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"14000US21205950201"	"Census Tract 9502.01"	""	""	""	2588	193	616	935	408	312	50	74
"21205950202"	"Census Tract 9502.02, Rowan County, Kentucky"	"ACSSF"	"ky"	"140"	"00"	"0002983"	""	""	""	""	"21"	"205"	""	""	"950202"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"14000US21205950202"	"Census Tract 9502.02"	""	""	""	2099	242	824	499	164	149	161	60
"21205950301"	"Census Tract 9503.01, Rowan County, Kentucky"	"ACSSF"	"ky"	"140"	"00"	"0002984"	""	""	""	""	"21"	"205"	""	""	"950301"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"14000US21205950301"	"Census Tract 9503.01"	""	""	""	1133	93	394	405	162	63	0	16
"21205950302"	"Census Tract 9503.02, Rowan County, Kentucky"	"ACSSF"	"ky"	"140"	"00"	"0002985"	""	""	""	""	"21"	"205"	""	""	"950302"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"14000US21205950302"	"Census Tract 9503.02"	""	""	""	2066	297	704	613	257	131	44	20
