Geo_FIPS	Geo_GEOID	Geo_NAME	Geo_QName	Geo_STUSAB	Geo_SUMLEV	Geo_GEOCOMP	Geo_FILEID	Geo_LOGRECNO	Geo_US	Geo_REGION	Geo_DIVISION	Geo_STATECE	Geo_STATE	Geo_COUNTY	Geo_COUSUB	Geo_PLACE	Geo_PLACESE	Geo_TRACT	Geo_BLKGRP	Geo_CONCIT	Geo_AIANHH	Geo_AIANHHFP	Geo_AIHHTLI	Geo_AITSCE	Geo_AITS	Geo_ANRC	Geo_CBSA	Geo_CSA	Geo_METDIV	Geo_MACC	Geo_MEMI	Geo_NECTA	Geo_CNECTA	Geo_NECTADIV	Geo_UA	Geo_UACP	Geo_CDCURR	Geo_SLDU	Geo_SLDL	Geo_VTD	Geo_ZCTA3	Geo_ZCTA5	Geo_SUBMCD	Geo_SDELM	Geo_SDSEC	Geo_SDUNI	Geo_UR	Geo_PCI	Geo_TAZ	Geo_UGA	Geo_BTTR	Geo_BTBG	Geo_PUMA5	Geo_PUMA1	SE_A12002_001	SE_A12002_002	SE_A12002_003	SE_A12002_004	SE_A12002_005	SE_A12002_006	SE_A12002_007	SE_A12002_008
"21001970100"	"14000US21001970100"	"Census Tract 9701, Adair County, Kentucky"	"Census Tract 9701, Adair County, Kentucky"	"ky"	"140"	"00"	"ACSSF"	"0001773"	""	""	""	""	"21"	"001"	""	""	""	"970100"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	1128	255	478	303	48	5	39	0
"21001970200"	"14000US21001970200"	"Census Tract 9702, Adair County, Kentucky"	"Census Tract 9702, Adair County, Kentucky"	"ky"	"140"	"00"	"ACSSF"	"0001774"	""	""	""	""	"21"	"001"	""	""	""	"970200"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	1067	243	421	213	98	60	21	11
"21001970300"	"14000US21001970300"	"Census Tract 9703, Adair County, Kentucky"	"Census Tract 9703, Adair County, Kentucky"	"ky"	"140"	"00"	"ACSSF"	"0001775"	""	""	""	""	"21"	"001"	""	""	""	"970300"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	2046	684	799	443	64	35	21	0
"21001970401"	"14000US21001970401"	"Census Tract 9704.01, Adair County, Kentucky"	"Census Tract 9704.01, Adair County, Kentucky"	"ky"	"140"	"00"	"ACSSF"	"0001776"	""	""	""	""	"21"	"001"	""	""	""	"970401"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	3025	763	886	717	338	242	58	21
"21001970402"	"14000US21001970402"	"Census Tract 9704.02, Adair County, Kentucky"	"Census Tract 9704.02, Adair County, Kentucky"	"ky"	"140"	"00"	"ACSSF"	"0001777"	""	""	""	""	"21"	"001"	""	""	""	"970402"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	2532	601	861	719	191	120	31	9
"21001970500"	"14000US21001970500"	"Census Tract 9705, Adair County, Kentucky"	"Census Tract 9705, Adair County, Kentucky"	"ky"	"140"	"00"	"ACSSF"	"0001778"	""	""	""	""	"21"	"001"	""	""	""	"970500"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	1592	449	630	335	122	42	14	0
"21001970600"	"14000US21001970600"	"Census Tract 9706, Adair County, Kentucky"	"Census Tract 9706, Adair County, Kentucky"	"ky"	"140"	"00"	"ACSSF"	"0001779"	""	""	""	""	"21"	"001"	""	""	""	"970600"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	985	254	460	135	87	42	7	0
"21003920100"	"14000US21003920100"	"Census Tract 9201, Allen County, Kentucky"	"Census Tract 9201, Allen County, Kentucky"	"ky"	"140"	"00"	"ACSSF"	"0001780"	""	""	""	""	"21"	"003"	""	""	""	"920100"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	2493	359	910	812	207	136	8	61
"21003920200"	"14000US21003920200"	"Census Tract 9202, Allen County, Kentucky"	"Census Tract 9202, Allen County, Kentucky"	"ky"	"140"	"00"	"ACSSF"	"0001781"	""	""	""	""	"21"	"003"	""	""	""	"920200"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	1701	412	521	441	221	82	19	5
"21003920300"	"14000US21003920300"	"Census Tract 9203, Allen County, Kentucky"	"Census Tract 9203, Allen County, Kentucky"	"ky"	"140"	"00"	"ACSSF"	"0001782"	""	""	""	""	"21"	"003"	""	""	""	"920300"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	2954	663	973	886	186	190	43	13
