Geo__geoid_	Geo__geo_level_	Geo_NAME	Geo_qname	Geo_AREALAND	Geo_AREAWATER	SE_A12002_001	SE_A12002_002	SE_A12002_003	SE_A12002_004	SE_A12002_005	SE_A12002_006	SE_A12002_007	SE_A12002_008
"21011970201"	"SL140"	"Census Tract 9702.01, Bath County, Kentucky"	"Census Tract 9702.01, Bath County, Kentucky"	152245754	1340918	2070	415	949	542	138	26	0	0
"21011970202"	"SL140"	"Census Tract 9702.02, Bath County, Kentucky"	"Census Tract 9702.02, Bath County, Kentucky"	183085675	501799	2934	348	1432	762	171	206	15	0
"21011970300"	"SL140"	"Census Tract 9703, Bath County, Kentucky"	"Census Tract 9703, Bath County, Kentucky"	219199038	12843332	2270	346	993	639	154	113	25	0
"21013960100"	"SL140"	"Census Tract 9601, Bell County, Kentucky"	"Census Tract 9601, Bell County, Kentucky"	211329707	695787	1302	354	548	346	42	12	0	0
"21013960200"	"SL140"	"Census Tract 9602, Bell County, Kentucky"	"Census Tract 9602, Bell County, Kentucky"	123929804	613614	2547	612	922	524	239	195	55	0
"21013960300"	"SL140"	"Census Tract 9603, Bell County, Kentucky"	"Census Tract 9603, Bell County, Kentucky"	87980682	939419	1463	246	606	261	202	47	83	18
"21013960400"	"SL140"	"Census Tract 9604, Bell County, Kentucky"	"Census Tract 9604, Bell County, Kentucky"	137179775	982216	1137	235	648	229	16	9	0	0
"21013960500"	"SL140"	"Census Tract 9605, Bell County, Kentucky"	"Census Tract 9605, Bell County, Kentucky"	72265689	256339	1264	231	646	268	79	40	0	0
"21013960600"	"SL140"	"Census Tract 9606, Bell County, Kentucky"	"Census Tract 9606, Bell County, Kentucky"	40519586	367277	2836	413	820	978	493	109	23	0
"21013960700"	"SL140"	"Census Tract 9607, Bell County, Kentucky"	"Census Tract 9607, Bell County, Kentucky"	6555505	107866	1982	213	510	762	221	164	90	22
"21013960800"	"SL140"	"Census Tract 9608, Bell County, Kentucky"	"Census Tract 9608, Bell County, Kentucky"	62317412	611555	2178	736	611	579	185	10	48	9
"21013961100"	"SL140"	"Census Tract 9611, Bell County, Kentucky"	"Census Tract 9611, Bell County, Kentucky"	187725270	910203	1918	310	981	417	113	54	13	30
"21015070101"	"SL140"	"Census Tract 701.01, Boone County, Kentucky"	"Census Tract 701.01, Boone County, Kentucky"	3353997	7546	3129	479	983	1131	335	184	17	0
"21015070102"	"SL140"	"Census Tract 701.02, Boone County, Kentucky"	"Census Tract 701.02, Boone County, Kentucky"	1331599	0	1507	367	442	412	228	34	24	0
"21015070201"	"SL140"	"Census Tract 702.01, Boone County, Kentucky"	"Census Tract 702.01, Boone County, Kentucky"	2161612	0	2768	341	1034	967	317	53	19	37
