Geo_FIPS	Geo_GEOID	Geo_NAME	Geo_QName	Geo_STUSAB	Geo_SUMLEV	Geo_GEOCOMP	Geo_FILEID	Geo_LOGRECNO	Geo_US	Geo_REGION	Geo_DIVISION	Geo_STATECE	Geo_STATE	Geo_COUNTY	Geo_COUSUB	Geo_PLACE	Geo_PLACESE	Geo_TRACT	Geo_BLKGRP	Geo_CONCIT	Geo_AIANHH	Geo_AIANHHFP	Geo_AIHHTLI	Geo_AITSCE	Geo_AITS	Geo_ANRC	Geo_CBSA	Geo_CSA	Geo_METDIV	Geo_MACC	Geo_MEMI	Geo_NECTA	Geo_CNECTA	Geo_NECTADIV	Geo_UA	Geo_UACP	Geo_CDCURR	Geo_SLDU	Geo_SLDL	Geo_VTD	Geo_ZCTA3	Geo_ZCTA5	Geo_SUBMCD	Geo_SDELM	Geo_SDSEC	Geo_SDUNI	Geo_UR	Geo_PCI	Geo_TAZ	Geo_UGA	Geo_BTTR	Geo_BTBG	Geo_PUMA5	Geo_PUMA1	SE_A12002_001	SE_A12002_002	SE_A12002_003	SE_A12002_004	SE_A12002_005	SE_A12002_006	SE_A12002_007	SE_A12002_008
"21001970100"	"14000US21001970100"	"Census Tract 9701, Adair County, Kentucky"	"Census Tract 9701, Adair County, Kentucky"	"ky"	"140"	"00"	"ACSSF"	"0001794"	""	""	""	""	"21"	"001"	""	""	""	"970100"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	997	256	439	204	71	24	3	0
"21001970200"	"14000US21001970200"	"Census Tract 9702, Adair County, Kentucky"	"Census Tract 9702, Adair County, Kentucky"	"ky"	"140"	"00"	"ACSSF"	"0001795"	""	""	""	""	"21"	"001"	""	""	""	"970200"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	1168	302	398	266	99	68	26	9
"21001970300"	"14000US21001970300"	"Census Tract 9703, Adair County, Kentucky"	"Census Tract 9703, Adair County, Kentucky"	"ky"	"140"	"00"	"ACSSF"	"0001796"	""	""	""	""	"21"	"001"	""	""	""	"970300"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	2211	510	869	586	167	50	15	14
"21001970401"	"14000US21001970401"	"Census Tract 9704.01, Adair County, Kentucky"	"Census Tract 9704.01, Adair County, Kentucky"	"ky"	"140"	"00"	"ACSSF"	"0001797"	""	""	""	""	"21"	"001"	""	""	""	"970401"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	3178	766	896	810	386	262	32	26
"21001970402"	"14000US21001970402"	"Census Tract 9704.02, Adair County, Kentucky"	"Census Tract 9704.02, Adair County, Kentucky"	"ky"	"140"	"00"	"ACSSF"	"0001798"	""	""	""	""	"21"	"001"	""	""	""	"970402"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	2666	625	991	583	258	155	30	24
"21001970500"	"14000US21001970500"	"Census Tract 9705, Adair County, Kentucky"	"Census Tract 9705, Adair County, Kentucky"	"ky"	"140"	"00"	"ACSSF"	"0001799"	""	""	""	""	"21"	"001"	""	""	""	"970500"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	1505	415	626	283	128	40	13	0
"21001970600"	"14000US21001970600"	"Census Tract 9706, Adair County, Kentucky"	"Census Tract 9706, Adair County, Kentucky"	"ky"	"140"	"00"	"ACSSF"	"0001800"	""	""	""	""	"21"	"001"	""	""	""	"970600"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	909	290	369	144	60	40	6	0
"21003920100"	"14000US21003920100"	"Census Tract 9201, Allen County, Kentucky"	"Census Tract 9201, Allen County, Kentucky"	"ky"	"140"	"00"	"ACSSF"	"0001801"	""	""	""	""	"21"	"003"	""	""	""	"920100"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	2284	311	755	756	195	157	59	51
"21003920200"	"14000US21003920200"	"Census Tract 9202, Allen County, Kentucky"	"Census Tract 9202, Allen County, Kentucky"	"ky"	"140"	"00"	"ACSSF"	"0001802"	""	""	""	""	"21"	"003"	""	""	""	"920200"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	1741	450	565	455	166	86	15	4
"21003920300"	"14000US21003920300"	"Census Tract 9203, Allen County, Kentucky"	"Census Tract 9203, Allen County, Kentucky"	"ky"	"140"	"00"	"ACSSF"	"0001803"	""	""	""	""	"21"	"003"	""	""	""	"920300"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	3265	745	934	967	339	257	10	13
