bgp1990gj,tr2010gj,tr2010ge,parea,wt_pop,wt_adult,wt_fam,wt_hh,wt_hu,wt_ownhu,wt_renthu
G21011109210448000010902039999999452014,G2101110010902,21111010902,0.945618235,0.993815994,0.9941591901,0.9946803652,0.9929192625,0.9923432371,0.995849379,0.9829695144
G21011109210448000010902039999999452015,G2101110010902,21111010902,1,1,1,1,1,1,1,1
G21011109210448000011003039999999452011,G2101110011003,21111011003,1,1,1,1,1,1,1,1
G21011109210448000011003039999999452012,G2101110011003,21111011003,1,1,1,1,1,1,1,1
G21011109210448000011003039999999452013,G2101110011003,21111011003,1,1,1,1,1,1,1,1
G21011109210448000011003039999999452014,G2101110011003,21111011003,1,1,1,1,1,1,1,1
G21011109210448000011003039999999452015,G2101110011003,21111011003,1,1,1,1,1,1,1,1
G21011109210448000011003039999999452016,G2101110011003,21111011003,1,1,1,1,1,1,1,1
G21011109210448000011004039999999452011,G2101110011004,21111011004,1,1,1,1,1,1,1,1
G21011109210448000011004039999999452012,G2101110011004,21111011004,1,1,1,1,1,1,1,1
G21011109210448000011004039999999452013,G2101110011004,21111011004,1,1,1,1,1,1,1,1
G21011109210448000011004039999999452014,G2101110011004,21111011004,1,1,1,1,1,1,1,1
G21011109210448000011004039999999452015,G2101110011004,21111011004,1,1,1,1,1,1,1,1
G21011109210448000011101039999999452011,G2101110011111,21111011111,1,1,1,1,1,1,1,1
G210111092104480000112039999999452011,G2101110011200,21111011200,1,1,1,1,1,1,1,1
G210111092104480000112039999999452012,G2101110011200,21111011200,1,1,1,1,1,1,1,1
G210111092104480000112039999999452013,G2101110011200,21111011200,1,1,1,1,1,1,1,1
G210111092104480000112039999999452014,G2101110011200,21111011200,1,1,1,1,1,1,1,1
G210111092104480000112039999999452015,G2101110011200,21111011200,1,1,1,1,1,1,1,1
G210111092104480000112039999999452016,G2101110011200,21111011200,1,1,1,1,1,1,1,1
G210111092104480000112039999999452017,G2101110011200,21111011200,1,1,1,1,1,1,1,1
G21011109210448000011301039999999452018,G2101110011301,21111011301,1,1,1,1,1,1,1,1
G21011109210448000011301039999999452019,G2101110011301,21111011301,1,1,1,1,1,1,1,1
G21011109210448000011403039999999452014,G2101110011403,21111011403,1,1,1,1,1,1,1,1
G210111092104480000118039999999452011,G2101110011800,21111011800,0.8497030883,0.9820008176,0.9827958591,0.9817144869,0.9833271047,0.9838776248,0.9845565529,0.9752218535
G210111092104480000118039999999452011,G2101110980100,21111980100,0.1502969117,0.0179991824,0.0172041409,0.0182855131,0.0166728953,0.0161223752,0.0154434471,0.0247781465
