tr2010gj,tr2010ge,tr2020gj,tr2020ge,parea,wt_pop,wt_adult,wt_fam,wt_hh,wt_hu,wt_ownhu,wt_renthu
G2100130960200,21013960200,G2100130961100,21013961100,0.0000623298,0,0,0,0,0,0,0
G2100130960300,21013960300,G2100130960300,21013960300,0.9978023272,0.9945401092,0.9940508383,0.9958448753,0.9958246347,0.9961795606,0.9948051948,1
G2100130960300,21013960300,G2100130960400,21013960400,0.0018185445,0.0054598908,0.0059491617,0.0041551247,0.0041753653,0.0038204394,0.0051948052,0
G2100130960300,21013960300,G2100130960500,21013960500,0.0003791283,0,0,0,0,0,0,0
G2100130960400,21013960400,G2100130960400,21013960400,1,1,1,1,1,1,1,1
G2100130960500,21013960500,G2100130960300,21013960300,0.0121310543,0.0011372511,0.0010681618,0.0013222728,0.0010418074,0.0010090985,0.0007878836,0.0014037293
G2100130960500,21013960500,G2100130960500,21013960500,0.9878689457,0.9988627489,0.9989318382,0.9986777272,0.9989581926,0.9989909015,0.9992121164,0.9985962707
G2100130960600,21013960600,G2100130960600,21013960600,1,1,1,1,1,1,1,1
G2100130960700,21013960700,G2100130960500,21013960500,0.0001223394,0,0,0,0,0,0,0
G2100130960700,21013960700,G2100130960700,21013960700,0.9998776606,1,1,1,1,1,1,1
G2100130960800,21013960800,G2100130960500,21013960500,0.00130998,0.0018562715,0.0020855057,0.0019120459,0.0026631158,0.0024554942,0.0019569472,0.0041666667
G2100130960800,21013960800,G2100130960800,21013960800,0.99869002,0.9981437285,0.9979144943,0.9980879541,0.9973368842,0.9975445058,0.9980430528,0.9958333333
G2100130961100,21013961100,G2100130960200,21013960200,0.0000200519,0,0,0,0,0,0,0
G2100130961100,21013961100,G2100130960300,21013960300,0.0004642282,0.0095571838,0.0073133179,0.0082417582,0.0093896714,0.0085984523,0.0117647059,0.0033333333
G2100130961100,21013961100,G2100130960800,21013960800,0.0000229218,0.0000070621,0.0000071318,0.0000104531,0.0000083881,0.0000088193,0.0000099476,0.0000044115
G2100130961100,21013961100,G2100130961100,21013961100,0.9994927981,0.9904357541,0.9926795503,0.9917477886,0.9906019405,0.9913927285,0.9882253466,0.9966622551
G2100150070100,21015070100,G2100150070101,21015070101,0.7163829931,0.5868263473,0.611122145,0.5657813465,0.6158844765,0.6207836457,0.5339055794,0.6753894081
G2100150070100,21015070100,G2100150070102,21015070102,0.2836170069,0.4131736527,0.388877855,0.4342186535,0.3841155235,0.3792163543,0.4660944206,0.3246105919
G2100150070200,21015070200,G2100150070201,21015070201,0.5072587947,0.5829145729,0.5830605565,0.5940777298,0.5770779934,0.5725999317,0.6301684533,0.5284210526
G2100150070200,21015070200,G2100150070202,21015070202,0.4927412053,0.4170854271,0.4169394435,0.4059222702,0.4229220066,0.4274000683,0.3698315467,0.4715789474
G2100150070301,21015070301,G2100150070301,21015070301,1,1,1,1,1,1,1,1
G2100150070305,21015070305,G2100150070305,21015070305,1,1,1,1,1,1,1,1
G2100150070307,21015070307,G2100150070317,21015070317,0.1841526146,0.4440914867,0.4285903375,0.4405432262,0.4083136017,0.4072772898,0.4101644245,0.3947368421
G2100150070307,21015070307,G2100150070318,21015070318,0.8158473854,0.5559085133,0.5714096625,0.5594567738,0.5916863983,0.5927227102,0.5898355755,0.6052631579
G2100150070308,21015070308,G2100150070315,21015070315,0.5268903925,0.4995411441,0.5265530356,0.4982922201,0.5291363163,0.5260227548,0.4506104329,0.7151621385
G2100150070308,21015070308,G2100150070316,21015070316,0.4730666514,0.5004588559,0.4734469644,0.5017077799,0.4708636837,0.4739772452,0.5493895671,0.2848378615
G2100150070308,21015070308,G2100150070318,21015070318,0.0000429561,0,0,0,0,0,0,0
G2100150070309,21015070309,G2100150070309,21015070309,1,1,1,1,1,1,1,1
G2100150070311,21015070311,G2100150070311,21015070311,0.6880314263,0.9739356753,0.9722414656,0.9707228428,0.9713567667,0.9708328502,0.9666655531,0.9829431198
