unitid,peo1istr,peo2istr,peo3istr,peo4istr,peo5istr,peo6istr,public1,public2,public3,public4,public5,public6,public7,public8,public9,private,relaffil,level1,level2,level3,level4,level5,level6,level7,level8,level9,level10,level11,level12,multype,fopna,fopna1,fopna2,insttoyr,licensed,accrd1,accrd2,accrd3,accrd4,regaccrd,saccr
"101116","-5","1","-2","-5","-5","-5","-2","-2","-2","-2","-2","-2","-2","-2","-2","1","-2","1","1","1","-5","-2","-2","-2","-2","-2","-2","-2","-2","-5","2","-2","-2","-2","-2","1","1","-5","-5","8","2"
"101125","-5","1","-2","-5","-5","-5","-5","-5","-5","-5","-5","-5","-5","-5","1","-2","-2","-5","-5","-5","1","-2","-2","-2","-2","-2","-2","-2","-2","-5","2","-2","-2","-2","-2","1","-5","-5","-5","-2","1"
"101143","1","1","-2","1","1","-5","-5","1","-5","-5","-5","-5","-5","-5","-5","-2","-2","1","1","1","-5","-2","-2","-2","-2","-2","-2","-2","-2","-5","2","-2","-2","-2","-2","-5","1","-5","-5","8","2"
"101161","1","1","-2","-5","1","-5","-5","1","-5","-5","-5","-5","-5","-5","-5","-2","-2","1","1","1","-5","-2","-2","-2","-2","-2","-2","-2","-2","-5","2","-2","-2","-2","-2","-5","1","-5","-5","8","1"
"101189","1","1","1","-5","-5","-5","-2","-2","-2","-2","-2","-2","-2","-2","-2","3","74","-5","1","1","-5","1","-5","1","-5","-5","1","-5","-5","-5","2","-2","-2","-2","-2","-5","1","-5","-5","8","2"
"101198","1","1","-2","-5","-5","-5","-2","-2","-2","-2","-2","-2","-2","-2","-2","3","56","-5","1","1","-5","-2","-2","-2","-2","-2","-2","-2","-2","-5","2","-2","-2","-2","-2","-5","1","-5","-5","8","2"
"101204","1","1","-2","-5","-5","-5","-2","-2","-2","-2","-2","-2","-2","-2","-2","3","56","1","-5","1","-5","-2","-2","-2","-2","-2","-2","-2","-2","-5","2","-2","-2","-2","-2","-5","1","-5","-5","8","2"
"101213","1","1","-2","-5","-5","-5","-2","-2","-2","-2","-2","-2","-2","-2","-2","3","56","-5","1","1","-5","-2","-2","-2","-2","-2","-2","-2","-2","-5","2","-2","-2","-2","-2","-5","1","-5","-5","8","2"
"101231","1","-5","-2","-5","-5","-5","-2","-2","-2","-2","-2","-2","-2","-2","-2","1","-2","1","1","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-5","2","-2","-2","-2","-2","1","-5","-5","-5","-2","1"
"101240","1","1","-2","1","1","-5","-5","1","-5","-5","-5","-5","-5","-5","-5","-2","-2","1","1","1","-5","-2","-2","-2","-2","-2","-2","-2","-2","-5","2","-2","-2","-2","-2","-5","1","-5","-5","8","1"
"101268","1","-5","-2","-5","-5","-5","-2","-2","-2","-2","-2","-2","-2","-2","-2","1","-2","1","1","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-5","2","-2","-2","-2","-2","1","-5","-5","-5","-2","1"
"101277","1","-5","-2","-5","-5","-5","-2","-2","-2","-2","-2","-2","-2","-2","-2","1","-2","-5","1","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-5","2","-2","-2","-2","-2","1","-5","-5","-5","-2","1"
"101286","1","1","-2","1","1","-5","-5","1","-5","-5","-5","-5","-5","-5","-5","-2","-2","1","1","1","-5","-2","-2","-2","-2","-2","-2","-2","-2","-5","1","1","-2","-2","-2","-5","1","-5","-5","8","1"
"101295","1","1","-2","-5","1","-5","-5","1","-5","-5","-5","-5","-5","-5","-5","-2","-2","1","1","1","-5","-2","-2","-2","-2","-2","-2","-2","-2","-5","2","-2","-2","-2","-2","-5","1","-5","-5","8","1"
"101301","1","1","-2","-5","1","-5","-5","1","-5","-5","-5","-5","-5","-5","-5","-2","-2","1","1","1","-5","-2","-2","-2","-2","-2","-2","-2","-2","-5","2","-2","-2","-2","-2","-5","1","-5","-5","8","1"
"101310","1","1","-2","-5","-5","-5","-2","-2","-2","-2","-2","-2","-2","-2","-2","1","-2","1","-5","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-5","2","-2","-2","-2","-2","-5","-5","1","-5","-2","2"
"101347","1","-5","-2","-5","-5","-5","-5","1","-5","-5","-5","-5","-5","-5","-5","-2","-2","1","1","1","-5","-2","-2","-2","-2","-2","-2","-2","-2","-5","2","-2","-2","-2","-2","1","1","-5","-5","8","1"
"101365","1","1","-5","-5","-5","-5","-2","-2","-2","-2","-2","-2","-2","-2","-2","1","-2","-5","1","1","-5","1","-5","-5","-5","-5","-5","-5","-5","-5","2","-2","-2","-2","-2","1","-5","-5","-5","-2","1"
