unitid,finaid1,finaid2,finaid3,finaid4,finaid5,finaid6,finaid7,finaid8,finaid9,jtpa,rotc,rotc1,rotc2,rotc3,athaid,athaid1,athaid2,athaid3,athaid4,athaid5,ftslt15,facpt,facml,facrl,facmd,pctpost,"ein","chfnm","chftitle",licensed,imp1,imp2,imp3,imp4,imp5,imp6,imp7,imp8,imp9,imp10,imp11,imp12,imp13,imp14,imp15,imp16,imp17,imp18,imp19,imp20,imp21,imp22,imp23,imp24,imp25,imp26,imp27,imp28,imp29,imp30,imp31,imp32,imp33,imp34,imp35,imp36,imp37,imp38,imp39,imp40,imp41,imp42,imp43,imp44,imp45,imp46,imp47,imp48,imp49,imp50,imp51,imp52,imp53,imp54,imp55,imp56,imp57,imp58,imp59,imp60,imp61,imp62,imp63,imp64,imp65,imp66,imp67,imp68,imp69,imp70,imp71,imp72,imp73,imp74,imp75,imp76,imp77,imp78,imp79,imp80,imp81,imp82,imp83,imp84,imp85,imp86,imp87,imp88,imp89,imp90,imp91,imp92,imp93,imp94,imp95,imp96,imp97,imp98,imp99,imp100,imp101,imp102,imp103,imp104
"153658","1","1","1","1","1","1","1","1","-1","3","1","1","-1","1","1","1","1","1","1","1","2","2","2","2","2","","426004813","MARY SUE COLEMAN","PRESIDENT","-1","R","R","R","R","R","A","R","N","R","R","A","R","N","N","R","R","R","R","N","N","N","N","R","R","N","N","N","N","R","R","N","N","N","N","R","R","R","R","R","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","R","R","R","R","R","R","R","R","R","R","R","R","R","Z","R","R","R","Z","R","R","R","R","R","R","N","R","R","R","R","N","R","N","R","N"
"155399","1","1","1","1","1","1","1","1","-1","2","1","1","-1","1","1","1","1","1","1","1","2","2","2","2","2","","","JON WEFALD","PRESIDENT","-1","R","R","R","R","R","R","R","N","R","R","R","R","N","N","N","N","N","N","N","N","N","N","N","N","N","N","R","R","N","N","N","N","N","N","R","R","R","N","N","R","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","R","R","R","R","R","R","R","R","R","R","R","R","R","Z","R","R","R","Z","R","R","R","R","R","R","N","R","R","N","N","N","N","N","N","N"
"157085","1","1","1","1","1","1","1","1","-1","1","1","1","-1","1","1","1","1","1","1","1","2","2","2","2","2","","616001218","C T WETHINGTON JR","PRESIDENT","-1","R","R","N","R","R","R","R","N","R","R","R","N","N","N","R","R","R","R","N","N","N","N","R","R","N","N","N","N","R","R","N","N","N","N","R","R","N","N","N","R","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","R","R","R","R","R","R","R","R","R","R","R","R","R","Z","G","R","R","Z","R","R","R","R","R","R","N","R","R","N","N","N","N","N","N","N"
"157289","1","1","1","1","1","1","1","1","-1","2","1","1","-1","1","1","1","1","1","1","1","2","2","2","2","2","","611014882","JOHN W SHUMAKER","PRESIDENT","-1","R","R","N","R","R","R","R","N","R","R","R","N","N","N","R","R","R","R","N","N","N","N","N","N","N","N","N","N","R","R","N","N","N","N","N","R","N","N","N","R","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","R","R","R","R","R","R","R","R","R","R","R","R","R","Z","R","R","R","Z","R","R","R","R","R","R","N","R","R","N","N","N","N","N","N","N"
"159009","1","1","1","1","1","1","1","1","-1","1","1","1","-1","1","1","1","1","1","1","1","2","2","2","2","2","","726000751","RAYMOND HICKS","INTERIM PRESIDENT","-1","R","R","N","R","R","R","R","N","R","R","R","R","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","R","R","R","R","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","R","R","R","R","R","Z","R","R","Z","R","R","R","A","R","G","Z","C","R","C","Z","R","R","N","R","N","R","N","N","N","N","N","N","N","N"
"171100","1","1","1","1","1","1","1","1","-1","2","1","1","-1","1","1","1","1","1","1","1","2","2","2","2","2","","","M PETER MCPHERSON","PRESIDENT","-1","R","R","R","R","R","R","R","N","R","R","R","R","N","N","N","N","R","R","N","N","R","R","N","N","N","N","R","R","N","N","N","N","N","N","R","R","C","R","R","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","R","R","R","R","R","R","R","R","R","R","R","R","R","Z","R","R","R","Z","R","R","R","R","R","R","N","R","R","N","N","N","N","N","N","N"
"174233","1","1","1","1","1","1","1","1","-1","3","1","1","-1","1","1","1","1","1","1","1","2","2","2","2","2","","416007513","KATHRYN MARTIN","CHANCELLOR","-1","R","R","R","R","R","R","R","N","R","R","R","R","N","N","N","N","R","R","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","R","R","R","R","R","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","R","R","R","R","R","R","R","R","R","R","R","R","G","Z","R","R","R","Z","R","R","R","R","R","R","N","G","R","R","R","N","R","N","G","N"
"178411","1","1","1","1","1","1","1","1","-1","2","1","1","-1","1","1","1","1","1","1","1","2","2","2","2","2","","436003859","JOHN T PARK","CHANCELLOR","-1","R","R","N","R","R","R","R","N","R","R","R","R","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","R","R","R","R","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","R","R","R","R","R","Z","R","R","R","R","R","R","R","Z","R","Z","R","Z","R","Z","R","R","N","R","N","R","N","N","N","N","R","N","R","N"
"183044","1","1","1","1","1","1","1","1","-1","2","1","1","-1","1","1","1","1","1","1","1","2","2","2","2","2","","","JOAN R LEITZEL","PRESIDENT","-1","R","N","N","R","R","R","A","N","R","R","R","A","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","R","R","R","R","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","R","R","R","R","R","Z","R","R","Z","R","R","R","R","Z","R","Z","R","Z","R","Z","R","R","N","C","N","C","N","N","N","N","N","N","N","N"
"192448","1","1","1","1","1","1","1","1","-1","3","1","1","-1","1","1","1","1","1","1","1","2","2","2","2","2","","111633516","DAVID STEINBERG","PRESIDENT","-1","R","R","N","R","R","R","R","N","R","R","R","R","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","R","N","R","R","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","R","R","R","R","R","Z","R","R","Z","R","R","R","R","Z","R","Z","R","Z","R","Z","R","R","N","R","N","R","N","N","N","N","N","N","N","N"
